,cat#1,cat#2,cat#3,cat#4,cat#5,a cat,고양이,feline animal,car#1,car#2,car#3,car#4,car#5,a car,자동차,automobile,robot#1,robot#2,robot#3,robot#4,robot#5,a robot arm,로봇 팔,robotic manipulator
cat#1,1.0000,0.7913,0.7760,0.7154,0.7277,0.2574,0.2168,0.2454,0.3460,0.4680,0.3702,0.3801,0.4079,0.1919,0.2047,0.1957,0.4213,0.5137,0.4783,0.4746,0.4256,0.1748,0.1903,0.1621
cat#2,0.7913,1.0000,0.7606,0.8055,0.8229,0.2716,0.2681,0.2665,0.4218,0.5593,0.4584,0.4356,0.4892,0.1954,0.2455,0.2031,0.4989,0.5474,0.5277,0.5177,0.4633,0.1869,0.2435,0.1795
cat#3,0.7760,0.7606,1.0000,0.6850,0.7060,0.2275,0.2422,0.2416,0.3377,0.4413,0.3613,0.3533,0.3979,0.1807,0.2428,0.1920,0.4051,0.4158,0.3959,0.3957,0.4042,0.1697,0.2322,0.1579
cat#4,0.7154,0.8055,0.6850,1.0000,0.9835,0.2667,0.2221,0.2635,0.3870,0.5215,0.4141,0.4123,0.4224,0.1927,0.2041,0.1914,0.5219,0.5080,0.4861,0.4901,0.4461,0.1992,0.1965,0.1750
cat#5,0.7277,0.8229,0.7060,0.9835,1.0000,0.2694,0.2294,0.2644,0.3857,0.5260,0.4245,0.4246,0.4253,0.1976,0.2140,0.1963,0.5215,0.5155,0.4855,0.4907,0.4503,0.2103,0.2056,0.1890
a cat,0.2574,0.2716,0.2275,0.2667,0.2694,1.0000,0.8314,0.9373,0.1867,0.1991,0.1922,0.1546,0.1776,0.8953,0.8093,0.8529,0.1692,0.2096,0.1860,0.1857,0.1675,0.7970,0.7689,0.7787
고양이,0.2168,0.2681,0.2422,0.2221,0.2294,0.8314,1.0000,0.8070,0.1328,0.1470,0.1664,0.1159,0.1862,0.7846,0.9256,0.7878,0.1620,0.1916,0.1754,0.1783,0.1559,0.7119,0.9273,0.7651
feline animal,0.2454,0.2665,0.2416,0.2635,0.2644,0.9373,0.8070,1.0000,0.1877,0.2065,0.2001,0.1741,0.1904,0.8467,0.8016,0.8441,0.1776,0.2164,0.1985,0.1998,0.1600,0.7808,0.7598,0.7801
car#1,0.3460,0.4218,0.3377,0.3870,0.3857,0.1867,0.1328,0.1877,1.0000,0.7638,0.8749,0.6669,0.6654,0.2570,0.1881,0.2477,0.4638,0.4614,0.4970,0.4712,0.4279,0.1657,0.1781,0.1810
car#2,0.4680,0.5593,0.4413,0.5215,0.5260,0.1991,0.1470,0.2065,0.7638,1.0000,0.7888,0.7317,0.7613,0.2573,0.1985,0.2563,0.5369,0.5110,0.5236,0.5308,0.5247,0.1657,0.1881,0.1776
car#3,0.3702,0.4584,0.3613,0.4141,0.4245,0.1922,0.1664,0.2001,0.8749,0.7888,1.0000,0.7010,0.6952,0.2695,0.2210,0.2713,0.5172,0.5237,0.5462,0.5349,0.4760,0.1991,0.2138,0.2230
car#4,0.3801,0.4356,0.3533,0.4123,0.4246,0.1546,0.1159,0.1741,0.6669,0.7317,0.7010,1.0000,0.7163,0.2318,0.1804,0.2394,0.4861,0.4440,0.4886,0.4264,0.4661,0.1718,0.1749,0.1856
car#5,0.4079,0.4892,0.3979,0.4224,0.4253,0.1776,0.1862,0.1904,0.6654,0.7613,0.6952,0.7163,1.0000,0.2432,0.2380,0.2599,0.4821,0.4525,0.4780,0.4443,0.4586,0.1775,0.2315,0.1757
a car,0.1919,0.1954,0.1807,0.1927,0.1976,0.8953,0.7846,0.8467,0.2570,0.2573,0.2695,0.2318,0.2432,1.0000,0.8130,0.9353,0.1700,0.2021,0.2059,0.1927,0.1929,0.8084,0.7696,0.7885
자동차,0.2047,0.2455,0.2428,0.2041,0.2140,0.8093,0.9256,0.8016,0.1881,0.1985,0.2210,0.1804,0.2380,0.8130,1.0000,0.8197,0.1918,0.2207,0.2022,0.2106,0.1844,0.7414,0.9789,0.7822
automobile,0.1957,0.2031,0.1920,0.1914,0.1963,0.8529,0.7878,0.8441,0.2477,0.2563,0.2713,0.2394,0.2599,0.9353,0.8197,1.0000,0.1648,0.2099,0.2123,0.1973,0.1765,0.7818,0.7771,0.8086
robot#1,0.4213,0.4989,0.4051,0.5219,0.5215,0.1692,0.1620,0.1776,0.4638,0.5369,0.5172,0.4861,0.4821,0.1700,0.1918,0.1648,1.0000,0.6088,0.5910,0.5627,0.7630,0.2490,0.1771,0.2356
robot#2,0.5137,0.5474,0.4158,0.5080,0.5155,0.2096,0.1916,0.2164,0.4614,0.5110,0.5237,0.4440,0.4525,0.2021,0.2207,0.2099,0.6088,1.0000,0.8648,0.8749,0.5741,0.2848,0.2185,0.2850
robot#3,0.4783,0.5277,0.3959,0.4861,0.4855,0.1860,0.1754,0.1985,0.4970,0.5236,0.5462,0.4886,0.4780,0.2059,0.2022,0.2123,0.5910,0.8648,1.0000,0.9280,0.5781,0.3034,0.2009,0.2784
robot#4,0.4746,0.5177,0.3957,0.4901,0.4907,0.1857,0.1783,0.1998,0.4712,0.5308,0.5349,0.4264,0.4443,0.1927,0.2106,0.1973,0.5627,0.8749,0.9280,1.0000,0.5538,0.2988,0.2105,0.2654
robot#5,0.4256,0.4633,0.4042,0.4461,0.4503,0.1675,0.1559,0.1600,0.4279,0.5247,0.4760,0.4661,0.4586,0.1929,0.1844,0.1765,0.7630,0.5741,0.5781,0.5538,1.0000,0.2738,0.1799,0.2606
a robot arm,0.1748,0.1869,0.1697,0.1992,0.2103,0.7970,0.7119,0.7808,0.1657,0.1657,0.1991,0.1718,0.1775,0.8084,0.7414,0.7818,0.2490,0.2848,0.3034,0.2988,0.2738,1.0000,0.7009,0.8794
로봇 팔,0.1903,0.2435,0.2322,0.1965,0.2056,0.7689,0.9273,0.7598,0.1781,0.1881,0.2138,0.1749,0.2315,0.7696,0.9789,0.7771,0.1771,0.2185,0.2009,0.2105,0.1799,0.7009,1.0000,0.7495
robotic manipulator,0.1621,0.1795,0.1579,0.1750,0.1890,0.7787,0.7651,0.7801,0.1810,0.1776,0.2230,0.1856,0.1757,0.7885,0.7822,0.8086,0.2356,0.2850,0.2784,0.2654,0.2606,0.8794,0.7495,1.0000
